192.52.178.30 'k.gtld-servers.net'
54.219.144.49 'ns-2.logitech.com'
69.55.52.7 'ns2.randomserver.com'
69.55.48.186 'ns1.randomserver.com'
45.54.78.65 'ns02.glb.paypalinc.com'
69.55.53.26 'ns4.randomserver.com'
69.55.53.60 NotFound
69.55.62.180 'ns1.serverstack.com'
69.55.52.21 NotFound
141.0.173.228 'ns2.serverstack.com'
205.251.197.36 'ns-1316.awsdns-36.org'
70.32.65.137 'ns2.mediatemple.net'
185.80.220.22 'star2.iivx.com'
173.201.76.19 'ns38.domaincontrol.com'
189.10.108.177 NotFound
172.64.33.55 'aiden.ns.cloudflare.com'
108.162.192.226 'tegan.ns.cloudflare.com'
78.140.183.199 NotFound
205.251.194.146 'ns-658.awsdns-18.net'
177.67.158.99 'rdns1.teleson.net.br'
205.251.192.89 'ns-89.awsdns-11.com'
205.251.196.128 'ns-1152.awsdns-16.org'
189.126.64.4 NotFound
162.214.101.97 '162-214-101-97.unifiedlayer.com'
173.245.58.173 'joan.ns.cloudflare.com'
162.214.152.82 'dedi-6130732.viareal.com.br'
205.251.196.132 'ns-1156.awsdns-16.org'
35.156.229.236 'ns2.lh.pl'
54.93.185.237 'ec2-54-93-185-237.eu-central-1.compute.amazonaws.com'
52.212.95.89 'ec2-52-212-95-89.eu-west-1.compute.amazonaws.com'
63.33.142.3 'ec2-63-33-142-3.eu-west-1.compute.amazonaws.com'
185.135.91.132 'ns.lh.pl'
177.87.160.20 'ns1.flexanet.net.br'
205.251.196.153 'ns-1177.awsdns-19.org'
177.87.160.21 'ns2.flexanet.net.br'
195.93.246.187 'ns7.rian.ru'
205.251.195.179 'ns-947.awsdns-54.net'
205.251.192.212 'ns-212.awsdns-26.com'
185.129.102.222 NotFound
205.251.197.239 'ns-1519.awsdns-61.org'
201.62.64.18 '201-62-64-18.turbolife.com.br'
77.88.21.1 'ns4.yandex.ru'
108.162.193.128 'kip.ns.cloudflare.com'
198.143.62.103 '198.143.62.103.ip.incapdns.net'
128.199.44.154 'outbound-1.mail.net.crisp.chat'
97.74.108.49 'ns77.domaincontrol.com'
68.87.66.102 'gtd03-d.potomac.co.ndcwest.comcast.net'
172.64.32.231 'tori.ns.cloudflare.com'
194.109.9.8 'surbl.bl.xs4all.nl'
205.251.199.180 'ns-1972.awsdns-54.co.uk'
13.107.128.2 NotFound
131.100.205.15 'static-131-100-205-15.wninternet.com.br'
173.201.76.49 'ns78.domaincontrol.com'
97.74.105.46 'ns71.domaincontrol.com'
108.179.193.187 'ns739.hostgator.com.br'
72.246.216.79 'a72-246-216-79.deploy.static.akamaitechnologies.com'
205.251.194.207 'ns-719.awsdns-25.net'
205.251.199.221 'ns-2013.awsdns-59.co.uk'
176.99.13.11 'ns1.reg.ru'
173.201.73.46 'ns72.domaincontrol.com'
208.84.66.50 'ns-sc4.proofpoint.us'
205.251.193.39 'ns-295.awsdns-36.com'
108.59.2.202 'ns22.cloudns.net'
162.159.38.64 'josephine.ns.cloudflare.com'
172.64.33.221 'peyton.ns.cloudflare.com'
54.171.131.39 'ec2-54-171-131-39.eu-west-1.compute.amazonaws.com'
205.251.194.35 'ns-547.awsdns-04.net'
172.64.32.108 'dora.ns.cloudflare.com'
52.19.156.76 'ec2-52-19-156-76.eu-west-1.compute.amazonaws.com'
205.251.199.33 'ns-1825.awsdns-36.co.uk'
187.33.91.34 'emailgw.sereducacional.com'
185.193.124.2 '1-you.njalla.no'
95.215.19.5 'ns1.njal.la'
185.193.124.34 '2-can.njalla.in'
128.39.8.40 'x.nic.no'
108.162.192.106 'dawn.ns.cloudflare.com'
38.132.109.186 NotFound
172.64.32.106 'dawn.ns.cloudflare.com'
151.249.126.3 'ns3.hyp.net'
205.251.194.16 'ns-528.awsdns-02.net'
205.251.198.219 'ns-1755.awsdns-27.co.uk'
186.208.69.162 'ns1.veloo.com.br'
108.162.193.125 'jim.ns.cloudflare.com'
172.64.33.125 'jim.ns.cloudflare.com'
64.207.128.246 'ns1.mediatemple.net'
106.11.141.128 NotFound
12.167.151.33 NotFound
177.124.57.20 'dns1.horizonstelecom.com.br'
205.251.196.33 'ns-1057.awsdns-04.org'
106.11.211.57 NotFound
108.162.192.229 'tia.ns.cloudflare.com'
200.187.80.45 'ns1.faster.net.br'
177.38.44.6 'ns2.spacecloud.com.br'
187.60.210.5 'webserver.ampernet.com.br'
141.113.8.53 'ns2.corpinter.de'
141.113.168.53 'ns4.corpinter.de'
141.113.136.53 'ns3.corpinter.net'
203.66.88.195 'ns1.twgate.net'
78.47.117.79 'ocean.lgv5.net'
108.162.193.191 'kevin.ns.cloudflare.com'
159.69.204.203 'glacier.lgv5.net'
189.45.12.49 'dns2.moebius.com.br'
189.45.12.41 'dns.moebius.com.br'
13.107.128.1 NotFound
67.227.190.38 'in1.fblreports.com'
78.153.202.22 'rbldns4.sorbs.net'
89.212.88.100 'spamcopbl.t-2.net'
140.205.41.18 NotFound
194.58.117.16 'ns2.reg.ru'
189.45.12.42 'dns3.moebius.com.br'
205.251.197.220 'ns-1500.awsdns-59.org'
205.251.194.28 'ns-540.awsdns-03.net'
194.58.117.18 'ns2.reg.ru'
205.251.195.245 'ns-1013.awsdns-62.net'
37.97.199.195 'ns2.transip.eu'
205.251.196.77 'ns-1101.awsdns-09.org'
205.251.198.246 'ns-1782.awsdns-30.co.uk'
177.125.112.181 'dns-aut-02.wznet.com.br'
177.125.112.180 'dns-aut-01.wznet.com.br'
195.135.195.195 'ns0.transip.net'
217.144.132.253 'ntpcgn1.ntppool.net'
186.211.128.54 'dns2.commcorp.net.br'
83.218.14.53 'pebbles.iom.com'
186.193.152.3 '152-193-186-3.pocos-net.com.br'
173.243.0.253 'dfw02-wxpd-lb04-adns.webex.com'
108.162.194.106 'stevie.ns.cloudflare.com'
186.195.32.88 '186.195.32.88.uninetbsb.com.br'
52.11.45.181 'ec2-52-11-45-181.us-west-2.compute.amazonaws.com'
185.184.8.226 'ip-185-184-8-226.rtbhouse.net'
205.251.192.221 'ns-221.awsdns-27.com'
172.64.33.182 'jerry.ns.cloudflare.com'
177.92.140.254 'ns1.zaptelecom.com.br'
213.239.206.103 'ns3.inwx.eu'
173.245.58.57 'adrian.ns.cloudflare.com'
217.160.83.198 'ns-webde.ui-dns.org'
205.251.197.17 'ns-1297.awsdns-34.org'
205.251.196.242 'ns-1266.awsdns-30.org'
187.103.98.2 'dns1.commcorp.net.br'
187.28.33.190 NotFound
173.245.58.249 'dorthy.ns.cloudflare.com'
54.153.32.255 'ec2-54-153-32-255.us-west-1.compute.amazonaws.com'
212.139.129.130 'ns0.as9105.com'
205.251.197.3 'ns-1283.awsdns-32.org'
62.24.202.57 'ds1.opaltelecom.net'
173.245.59.135 'paul.ns.cloudflare.com'
172.64.33.135 'paul.ns.cloudflare.com'
172.64.35.148 'rustam.ns.cloudflare.com'
108.162.192.129 'leah.ns.cloudflare.com'
217.149.76.228 'ns02.is.nl'
80.72.35.162 'backup0.admin.net.pl'
205.251.197.207 'ns-1487.awsdns-57.org'
205.251.195.65 'ns-833.awsdns-40.net'
83.219.82.3 'ns01.is.nl'
212.91.26.139 'dns1.mydevil.net'
205.251.198.101 'ns-1637.awsdns-12.co.uk'
205.251.198.234 'ns-1770.awsdns-29.co.uk'
172.64.33.128 'kip.ns.cloudflare.com'
65.254.254.170 '65-254-254-170.yourhostingaccount.com'
205.251.197.111 'ns-1391.awsdns-45.org'
62.253.162.237 'ns1.virginmedia.net'
45.236.116.3 'ns1.vlatelecom.com.br'
66.96.142.148 '148.142.96.66.static.eigbox.net'
205.251.198.92 'ns-1628.awsdns-11.co.uk'
208.80.126.13 'ns7.dnsmadeeasy.com'
205.251.198.214 'ns-1750.awsdns-26.co.uk'
177.221.56.35 '177-221-56-35.host.brasildigital.net.br'
177.66.32.38 'ns2.startnet.psi.br'
72.29.64.2 'ptr1.dimenoc.com'
173.245.58.217 'reza.ns.cloudflare.com'
195.221.96.5 'ns2.ac-versailles.fr'
189.124.0.17 '189-124-0-17.tcvnet.com.br'
195.221.96.3 'ns1.ac-versailles.fr'
157.7.32.254 'ns1.gmointernet.com'
195.98.241.130 'dns.ac-paris.fr'
205.251.197.206 'ns-1486.awsdns-57.org'
150.95.19.148 'v150-95-19-148.a001.m.han1.static.cnode.io'
157.7.33.254 'ns1.gmointernet.jp'
44.242.92.242 'ec2-44-242-92-242.us-west-2.compute.amazonaws.com'
64.182.103.72 NotFound
173.245.58.102 'anna.ns.cloudflare.com'
36.110.213.30 NotFound
51.222.29.152 'ns4.virtuaserver.com.br'
205.251.196.234 'ns-1258.awsdns-29.org'
131.161.93.43 'ns2.jdnetmg.com.br'
45.167.140.34 '45-167-140-34.netfacil.inf.br'
77.79.104.226 'root2.zone.tc'
205.251.199.7 'ns-1799.awsdns-32.co.uk'
202.96.75.68 NotFound
202.96.64.70 'ns1.lnpta.net.cn'
205.251.199.110 'ns-1902.awsdns-45.co.uk'
185.53.57.60 'ns1.thundercloud.uk'
205.251.192.115 'ns-115.awsdns-14.com'
205.251.198.93 'ns-1629.awsdns-11.co.uk'
205.251.197.245 'ns-1525.awsdns-62.org'
40.89.231.247 NotFound
205.251.198.176 'ns-1712.awsdns-22.co.uk'
205.251.196.3 'ns-1027.awsdns-00.org'
205.251.198.74 'ns-1610.awsdns-09.co.uk'
149.202.59.230 '230.ip-149-202-59.eu'
168.196.43.102 'ns2.provedorvisuallink.net.br'
173.245.58.224 'tani.ns.cloudflare.com'
213.167.230.135 'ns-134-b.gandi.net'
45.230.96.39 NotFound
194.169.218.60 NotFound
205.251.194.77 'ns-589.awsdns-09.net'
205.251.192.204 'ns-204.awsdns-25.com'
205.251.196.73 'ns-1097.awsdns-09.org'
173.201.68.31 'ns60.domaincontrol.com'
45.183.12.35 '45.183.12.35.moriahnet.com.br'
45.183.12.36 '45.183.12.36.moriahnet.com.br'
175.158.6.250 'e-ns.naver.com'
68.238.66.71 'ns3.verizon.net'
131.100.134.232 '131-100-134-232.radiobrastelecom.com.br'
103.86.96.100 NotFound
205.251.192.249 'ns-249.awsdns-31.com'
194.39.131.82 'ns.sap-ag.de'
143.107.51.8 'd.dns.usp.br'
143.107.45.37 'fradim.ime.usp.br'
169.145.3.14 'ns3.sap-ag.de'
205.251.192.98 'ns-98.awsdns-12.com'
172.64.33.208 'mitch.ns.cloudflare.com'
124.156.188.120 NotFound
108.162.193.248 'yichun.ns.cloudflare.com'
212.242.39.166 'ns1-s3011-auth.ip.telenor.dk'
187.86.130.8 'ip-187-86-130-8.vetorialnet.com.br'
205.251.192.88 'ns-88.awsdns-11.com'
216.74.32.101 'colo.to'
202.106.196.28 'ns2.bta.net.cn'
219.118.220.4 'ns2.admiral.ne.jp'
172.64.33.70 'austin.ns.cloudflare.com'
169.145.197.68 'ns4.sap-ag.de'
205.251.196.10 'ns-1034.awsdns-01.org'
205.251.197.252 'ns-1532.awsdns-63.org'
184.23.168.53 'sqlcluster-arbiter.sr.sonic.net'
196.216.168.23 'ns-bi.afrinic.net'
196.216.168.10 'ns2.afrinic.net'
45.227.116.3 '45.227.116.3.virtualinternetfibra.com.br'
177.223.224.26 'ns1.novatecnet.net.br'
205.251.193.21 'ns-277.awsdns-34.com'
31.177.68.199 'dnsproxy2.fm.nic.ru'
213.251.128.149 'ns105.ovh.net'
173.201.79.51 'pdns04.domaincontrol.com'
155.56.68.196 'ns2.sap-ag.de'
129.211.176.242 NotFound
59.36.120.145 '145.120.36.59.broad.dg.gd.dynamic.163data.com.cn'
81.169.144.140 'surbl.rzone.de'
69.60.120.233 '233-120-60-69.serverpronto.com'
200.195.159.69 'ceres.copel.net'
205.251.194.140 'ns-652.awsdns-17.net'
172.64.32.110 'elle.ns.cloudflare.com'
162.243.211.202 NotFound
205.251.194.196 'ns-708.awsdns-24.net'
205.251.199.4 'ns-1796.awsdns-32.co.uk'
205.251.197.221 'ns-1501.awsdns-59.org'
213.192.189.2 'ns5.sci.fi'
205.251.199.127 'ns-1919.awsdns-47.co.uk'
186.223.131.116 'badf8374.virtua.com.br'
192.0.75.9 'ns4.wordpress.com'
192.65.229.221 'ns1.dnsallstars.com'
205.251.198.189 'ns-1725.awsdns-23.co.uk'
198.181.117.7 NotFound
62.248.254.2 '62-248-254-2.elisa-laajakaista.fi'
162.251.82.246 '162.251.82.246.reverse.myorderbox.com'
213.248.218.69 NotFound
200.230.35.113 'embratel-T0-1-0-3-348960-uacc02.spoph.embratel.net.br'
173.245.59.102 'art.ns.cloudflare.com'
162.251.82.123 '162.251.82.123.reverse.myorderbox.com'
193.229.0.49 'ns-fi.elisa.net'
192.65.229.223 'ns3.dnsallstars.com'
194.0.14.1 'c.ns.nic.cz'
200.19.215.1 'ns1.sc.gov.br'
172.64.32.60 'alice.ns.cloudflare.com'
195.74.0.10 'shinguz.sci.fi'
204.61.216.39 'n3.dns.ec'
189.40.198.83 '83.198.40.189.isp.timbrasil.com.br'
205.251.196.23 'ns-1047.awsdns-02.org'
173.245.58.182 'lana.ns.cloudflare.com'
108.162.192.176 'june.ns.cloudflare.com'
173.245.58.161 'heather.ns.cloudflare.com'
205.251.193.37 'ns-293.awsdns-36.com'
108.162.192.156 'etta.ns.cloudflare.com'
177.72.244.176 NotFound
195.206.121.139 'b.b-one-dns.net'
172.64.32.243 'zita.ns.cloudflare.com'
195.206.121.11 'a.b-one-dns.net'
172.64.32.111 'elsa.ns.cloudflare.com'
208.90.58.37 'adns2.ironport.com'
200.201.229.36 'abddns02.abrdigital.com.br'
121.51.162.45 NotFound
106.11.35.26 NotFound
208.78.70.26 'ns1.p26.dynect.net'
205.251.198.208 'ns-1744.awsdns-26.co.uk'
108.162.193.109 'dave.ns.cloudflare.com'
205.251.196.68 'ns-1092.awsdns-08.org'
132.255.128.248 '132.255.128.248.ultrafibrainternet.net.br'
205.251.197.87 'ns-1367.awsdns-42.org'
205.251.196.164 'ns-1188.awsdns-20.org'
194.169.218.51 NotFound
173.245.58.83 'cheryl.ns.cloudflare.com'
200.203.177.194 NotFound
108.162.193.163 'elmo.ns.cloudflare.com'
173.245.58.104 'coco.ns.cloudflare.com'
168.159.3.1 'ns0.emc.com'
218.176.253.72 'ns001.bbtec.net'
205.251.194.153 'ns-665.awsdns-19.net'
218.176.253.73 'bb001.bbtec.net'
51.91.82.227 'amd2.cortb.pl'
177.38.64.18 'ns1.virtualistelecom.com.br'
205.251.198.95 'ns-1631.awsdns-11.co.uk'
218.176.253.104 'ns002.bbtec.net'
157.158.0.3 'ns3.silweb.pl'
205.251.198.216 'ns-1752.awsdns-27.co.uk'
172.64.33.170 'gordon.ns.cloudflare.com'
173.245.58.213 'nora.ns.cloudflare.com'
205.251.199.126 'ns-1918.awsdns-47.co.uk'
205.251.196.140 'ns-1164.awsdns-17.org'
200.139.13.2 'dns.ufopa.edu.br'
200.201.133.2 'celta1.telium.com.br'
172.64.32.242 'zelda.ns.cloudflare.com'
205.251.197.144 'ns-1424.awsdns-50.org'
15.65.250.120 'nsi1g1.hp.com'
205.251.198.253 'ns-1789.awsdns-31.co.uk'
200.129.0.34 'dns2.pop-ce.rnp.br'
203.2.75.2 'ns1.optusnet.com.au'
173.245.58.136 'nina.ns.cloudflare.com'
66.180.64.87 'ns2.dnsallstars.com'
205.251.194.114 'ns-626.awsdns-14.net'
205.251.197.244 'ns-1524.awsdns-62.org'
63.251.28.8 'ns1.fwmrm.net'
205.251.194.40 'ns-552.awsdns-05.net'
172.64.32.104 'coco.ns.cloudflare.com'
173.245.59.142 'seth.ns.cloudflare.com'
205.251.199.144 'ns-1936.awsdns-50.co.uk'
74.217.66.21 'ns3.fwmrm.net'
63.251.28.11 'nycns1-ext1.fwmrm.net'
216.239.32.99 'ns1.googledomains.com'
45.177.79.132 'ns3.weclix.com.br'
205.251.198.69 'ns-1605.awsdns-08.co.uk'
192.240.188.144 NotFound
203.2.75.12 'ns2.optusnet.com.au'
192.240.188.122 NotFound
205.251.195.205 'ns-973.awsdns-57.net'
192.240.188.166 NotFound
205.251.197.230 'ns-1510.awsdns-60.org'
205.251.194.64 'ns-576.awsdns-08.net'
205.251.193.43 'ns-299.awsdns-37.com'
198.181.117.10 'ns2.wordpress.org'
205.251.197.143 'ns-1423.awsdns-49.org'
138.197.103.178 NotFound
194.146.106.98 'c.iedr.ie'
45.173.220.221 '45.173.220.221.zuttel.net.br'
205.251.196.4 'ns-1028.awsdns-00.org'
205.251.198.43 'ns-1579.awsdns-05.co.uk'
205.251.196.244 'ns-1268.awsdns-30.org'
173.245.58.154 'elma.ns.cloudflare.com'
205.251.198.139 'ns-1675.awsdns-17.co.uk'
213.251.188.139 'dns19.ovh.net'
198.143.61.2 '198.143.61.2.ip.incapdns.net'
108.162.192.119 'isla.ns.cloudflare.com'
52.113.196.2 NotFound
38.66.77.14 'usnjpr1ns01.ithaka.org'
108.162.193.63 'amit.ns.cloudflare.com'
205.251.193.173 'ns-429.awsdns-53.com'
213.167.230.8 'ns-7-b.gandi.net'
205.251.194.85 'ns-597.awsdns-10.net'
80.83.7.5 'ns.axu.tm'
15.72.24.126 'nsi4g1.hp.com'
198.143.63.200 '198.143.63.200.ip.incapdns.net'
217.70.187.111 'ns-110-c.gandi.net'
206.77.62.130 'ns2.ots.utsystem.edu'
205.251.195.68 'ns-836.awsdns-40.net'
205.251.197.236 'ns-1516.awsdns-61.org'
170.81.208.26 'ns1.connectvy.com.br'
170.81.208.27 'ns2.connectvy.com.br'
198.215.1.52 'ns3.ots.utsystem.edu'
185.159.196.2 'c.ca-servers.ca'
199.4.144.2 'any.ca-servers.ca'
69.16.223.254 'ns1.liquidweb.com'
186.237.48.22 'ns2.fortetelecom.com.br'
185.21.169.17 NotFound
198.147.139.66 'ns1.utsystem.edu'
173.245.58.127 'lady.ns.cloudflare.com'
185.21.170.17 NotFound
172.64.32.168 'jamie.ns.cloudflare.com'
108.162.192.168 'jamie.ns.cloudflare.com'
206.77.62.129 'ns1.ots.utsystem.edu'
77.72.229.253 'd.fi'
205.251.199.172 'ns-1964.awsdns-53.co.uk'
200.128.0.12 'ns2.pop-ba.rnp.br'
66.174.0.3 'ns1.vzwdomain.com'
172.64.33.80 'carter.ns.cloudflare.com'
205.251.195.223 'ns-991.awsdns-59.net'
83.169.184.44 'ns01.registrar.kabel-deutschland.de'
172.64.32.136 'nina.ns.cloudflare.com'
108.162.193.241 'major.ns.cloudflare.com'
99.99.99.132 'cmtu.mt.ns.els-gms.att.net'
64.251.31.180 'ns-d1.tm'
205.251.196.17 'ns-1041.awsdns-02.org'
143.90.130.11 'ns1.odn.ne.jp'
46.183.73.1 'ns10.fi.basen.net'
81.228.10.67 'dns2.telia.com'
109.201.142.225 'ns-canada.topdns.com'
143.90.130.166 'ns3.odn.ne.jp'
132.3.33.10 'wpafb-ns10.afnoc.af.mil'
199.16.128.180 'cabri.planethoster.net'
199.188.223.253 NotFound
173.245.59.131 'matt.ns.cloudflare.com'
108.162.193.131 'matt.ns.cloudflare.com'
146.88.237.76 'hybrid2068.fr.ns.planethoster.net'
177.10.224.1 'ns01.viafibra.com.br'
195.170.2.1 'ns2.otenet.gr'
172.64.33.188 'kai.ns.cloudflare.com'
205.251.199.39 'ns-1831.awsdns-36.co.uk'
146.88.237.85 'hybrid2068.fr.ns.planethoster.net'
176.31.192.251 'ns3.kenua.net'
162.159.38.106 'stevie.ns.cloudflare.com'
205.251.192.74 'ns-74.awsdns-09.com'
200.166.193.68 'mail.cna.org.br'
205.251.195.190 'ns-958.awsdns-55.net'
79.170.43.3 'ns2.mainnameserver.com'
61.20.46.205 'dns.fetnet.net'
205.251.196.143 'ns-1167.awsdns-17.org'
108.162.192.237 'violet.ns.cloudflare.com'
173.245.59.216 'noel.ns.cloudflare.com'
79.170.40.2 'ns1.mainnameserver.com'
205.251.195.189 'ns-957.awsdns-55.net'
66.135.193.107 'g6.ebay.com'
77.92.65.174 NotFound
148.122.161.2 'ns2.nextra.no'
158.38.0.181 'nn.uninett.no'
97.74.106.47 'ns73.domaincontrol.com'
81.93.49.55 'ns3.info.nl'
108.162.192.182 'lana.ns.cloudflare.com'
205.251.197.105 'ns-1385.awsdns-45.org'
205.251.197.164 'ns-1444.awsdns-52.org'
54.77.180.64 'ec2-54-77-180-64.eu-west-1.compute.amazonaws.com'
205.251.199.97 'ns-1889.awsdns-44.co.uk'
49.102.160.24 'ns002.docomo.ne.jp'
173.201.74.47 'ns74.domaincontrol.com'
205.251.192.248 'ns-248.awsdns-31.com'
173.228.153.148 '173.228.153.148.static.nyinternet.net'
173.245.59.92 'coby.ns.cloudflare.com'
202.229.10.2 'venus.d2c.ne.jp'
205.251.196.42 'ns-1066.awsdns-05.org'
79.141.48.1 'ns6.ertelecom.ru'
205.251.196.174 'ns-1198.awsdns-21.org'
205.251.198.68 'ns-1604.awsdns-08.co.uk'
205.251.194.61 'ns-573.awsdns-07.net'
172.64.35.187 'dylan.ns.cloudflare.com'
205.251.194.184 'ns-696.awsdns-23.net'
205.251.197.23 'ns-1303.awsdns-34.org'
172.64.33.84 'chip.ns.cloudflare.com'
205.251.195.40 'ns-808.awsdns-37.net'
108.162.192.113 'erin.ns.cloudflare.com'
204.61.216.95 'pch.gt'
191.5.112.23 '191-5-112-23customer.viaprovedor.com.br'
149.56.44.49 'ns3.brasilwork.net'
49.102.160.23 'ns001.docomo.ne.jp'
205.251.193.145 'ns-401.awsdns-50.com'
76.85.228.83 NotFound
172.64.33.232 'simon.ns.cloudflare.com'
205.251.196.192 'ns-1216.awsdns-24.org'
81.92.86.46 'ns1.perf1.com'
205.251.199.95 'ns-1887.awsdns-43.co.uk'
205.251.199.13 'ns-1805.awsdns-33.co.uk'
106.11.141.129 NotFound
69.134.147.5 'dnvrco-dns-05.dnvrco.twc.net'
192.225.157.20 NotFound
172.64.35.62 'renan.ns.cloudflare.com'
172.64.32.83 'cheryl.ns.cloudflare.com'
173.245.59.207 'miles.ns.cloudflare.com'
189.9.52.53 'ns2.turismoacessivel.gov.br'
200.144.0.2 'saturno.saude.sp.gov.br'
200.144.1.134 'plutao.saude.sp.gov.br'
172.64.33.209 'nash.ns.cloudflare.com'
201.55.8.188 'paysandu.redegov.sp.gov.br'
205.251.197.78 'ns-1358.awsdns-41.org'
205.251.199.209 'ns-2001.awsdns-58.co.uk'
205.251.195.104 'ns-872.awsdns-45.net'
162.159.44.62 'renan.ns.cloudflare.com'
162.159.38.113 'paris.ns.cloudflare.com'
81.92.87.76 'ns2.perf1.fr'
185.230.60.165 NotFound
185.24.64.45 NotFound
205.251.199.18 'ns-1810.awsdns-34.co.uk'
216.239.34.99 'ns2.googledomains.com'
144.217.197.25 'dns1.servidor5.com'
205.251.197.77 'ns-1357.awsdns-41.org'
205.251.199.96 'ns-1888.awsdns-44.co.uk'
45.181.100.10 'ns01.plugartelecom.net.br'
108.162.192.109 'edna.ns.cloudflare.com'
144.217.106.173 'dns2.servidor5.com'
220.181.33.31 NotFound
205.251.198.112 'ns-1648.awsdns-14.co.uk'
205.251.194.45 'ns-557.awsdns-05.net'
186.208.224.221 '221-224-208-186.netcomweb.com.br'
205.251.194.238 'ns-750.awsdns-29.net'
194.169.218.45 NotFound
205.251.198.9 'ns-1545.awsdns-01.co.uk'
45.176.7.250 NotFound
213.167.230.144 'ns-143-b.gandi.net'
173.245.58.169 'janet.ns.cloudflare.com'
200.144.93.37 'ns1.epm.br'
91.186.2.48 'ns2.phase8.net'
85.233.160.68 'ns1.phase8.net'
201.55.42.131 NotFound
210.174.191.1 'ns00.vips.ne.jp'
200.133.236.235 'NS04.ufscar.br'
62.58.50.220 'dsbl.versatel.nl'
205.251.197.183 'ns-1463.awsdns-54.org'
52.76.66.105 'ec2-52-76-66-105.ap-southeast-1.compute.amazonaws.com'
186.235.128.202 'ns02.acesso10.net.br'
210.130.1.5 'dns1.iij.ad.jp'
185.30.176.105 'ns1.my.com'
186.235.128.201 'ns01.acesso10.net.br'
162.221.185.187 'ns1.opanoticias.com'
185.30.176.111 'ns2.my.com'
205.251.192.108 'ns-108.awsdns-13.com'
173.245.58.69 'aron.ns.cloudflare.com'
189.124.16.234 NotFound
176.99.13.18 'ns2.reg.ru'
191.241.0.254 '191.241.0.254.nobreaknet.net.br'
45.180.144.22 'ns1.pntipontonet.net.br'
93.186.238.238 'ns3.vkontakte.ru'
210.130.0.5 'dns0.iij.ad.jp'
162.159.25.38 'd.au'
81.222.128.100 'moon2.adriver.ru'
157.131.0.15 'rbl-auth.sjc.sonic.net'
52.74.159.75 'ec2-52-74-159-75.ap-southeast-1.compute.amazonaws.com'
176.99.13.12 'ns2.reg.ru'
95.213.21.21 'ns2.vkontakte.ru'
205.251.193.46 'ns-302.awsdns-37.com'
210.138.20.89 's201.d-53.net'
172.64.33.224 'rajeev.ns.cloudflare.com'
5.61.23.9 'ip9.23.odnoklassniki.ru'
97.74.100.1 'ns01.domaincontrol.com'
189.38.95.2 'dns1.uni5.net'
109.70.27.117 'dns1.temp.webdrive.ru'
177.20.224.201 'prisma.net11.com.br'
202.32.219.25 's201.d-53.info'
170.83.0.10 '170-83-0-10-expand.tv.br'
200.17.114.40 'ns1.ufal.br'
217.35.209.187 'ns21.bt.net'
205.251.194.20 'ns-532.awsdns-02.net'
177.11.50.70 'anyshop.gk2.net.br'
177.53.140.115 'server2.clickplus.info'
177.53.144.88 'ip-177.53.144.88.redeatel.com.br'
200.137.132.2 'bacanga.ufma.br'
133.167.21.1 'ns2.dns.ne.jp'
177.53.140.116 NotFound
205.251.194.116 'ns-628.awsdns-14.net'
78.47.64.149 'static.149.64.47.78.clients.your-server.de'
172.64.32.169 'janet.ns.cloudflare.com'
172.64.32.209 'nelly.ns.cloudflare.com'
133.242.28.20 NotFound
108.162.193.209 'nash.ns.cloudflare.com'
217.16.18.206 NotFound
189.38.95.3 'dns2.uni5.net'
177.12.162.2 'dns03.uni5.net'
172.64.33.210 'ned.ns.cloudflare.com'
205.251.197.199 'ns-1479.awsdns-56.org'
194.58.117.11 'ns1.reg.ru'
151.164.1.1 'ns1.swbell.net'
195.186.1.110 'dns1.bluewin.ch'
167.250.161.18 '167.250.161.18.plusnetprovedor.net.br'
205.251.198.105 'ns-1641.awsdns-13.co.uk'
195.186.1.111 'dns2.bluewin.ch'
195.186.4.110 'dns3.bluewin.ch'
131.228.255.2 'ns03.heredns.com'
61.211.236.1 'ns1.dns.ne.jp'
133.217.192.17 'ns02.softbank.co.jp'
144.160.128.177 'ns10b.attdns.net'
205.251.197.222 'ns-1502.awsdns-59.org'
217.16.28.104 NotFound
148.163.206.65 'ns02.5naans.com'
138.94.112.250 'ns2auth.iveloz.net.br'
138.94.112.246 'ns1auth.iveloz.net.br'
163.43.127.196 NotFound
78.46.244.204 'static.204.244.46.78.clients.your-server.de'
205.251.194.194 'ns-706.awsdns-24.net'
122.146.111.24 '122-146-111-24.static.sparqnet.net'
207.236.176.21 'mtl02vnszs05.srvr.bell.ca'
173.245.59.111 'ed.ns.cloudflare.com'
195.186.4.111 'dns4.bluewin.ch'
108.162.192.87 'cortney.ns.cloudflare.com'
194.169.218.49 NotFound
192.185.131.238 '192-185-131-238.unifiedlayer.com'
78.47.118.205 'b2fqo8es.myraidbox.de'
108.162.193.145 'tim.ns.cloudflare.com'
177.20.181.254 'ns2.egbt.net.br'
173.201.75.8 'ns16.domaincontrol.com'
187.63.192.132 '187-63-192-132.supercabotv.com.br'
78.47.64.148 'static.148.64.47.78.clients.your-server.de'
205.251.194.176 'ns-688.awsdns-22.net'
51.222.26.208 'vps-dc9e3209.vps.ovh.ca'
213.179.137.7 'de-ns01.cadenas.de'
189.124.132.233 '189-124-132-233.cable.cabotelecom.com.br'
64.237.45.183 'smtp-relay-nyk02.webnow.net.br'
200.98.246.51 'ns1.servidorwebfacil.com'
